,Unnamed: 0,Unnamed: 0.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential
24,2484,2530,ATL,25,2015-12-12,Home,SAS,L,78,103,30,80,0.375,5,24,0.208,13,16,0.813,7,33,21,15,3,17,15,36,74,0.486,10,20,0.5,21,22,0.955,6,49,26,11,2,23,16,2015-12-12,-25,-6,6,-0.11099999999999999,-5,4,-0.29200000000000004,-8,-6,-0.14200000000000002,1,-16,-5,4,1,-6,-1
25,2485,2630,ATL,26,2015-12-14,Home,MIA,L,88,100,33,84,0.393,8,33,0.242,14,15,0.933,7,37,25,7,4,14,21,40,89,0.449,7,16,0.438,13,15,0.867,15,54,26,6,5,15,16,2015-12-14,-12,-7,-5,-0.055999999999999994,1,17,-0.196,1,0,0.06600000000000006,-8,-17,-1,1,-1,-1,5
26,2486,2730,ATL,27,2015-12-16,Home,PHI,W,127,106,48,78,0.615,10,21,0.476,21,24,0.875,2,25,32,11,7,12,21,39,75,0.52,12,26,0.462,16,24,0.667,7,32,20,5,2,22,21,2015-12-16,21,9,3,0.09499999999999997,-2,-5,0.013999999999999957,5,0,0.20799999999999996,-5,-7,12,6,5,-10,0
27,2487,2830,ATL,28,2015-12-18,Away,BOS,W,109,101,41,88,0.466,4,20,0.2,23,29,0.7929999999999999,9,42,23,11,4,12,28,34,77,0.442,10,23,0.435,23,31,0.742,6,43,19,5,2,21,25,2015-12-18,8,7,11,0.02400000000000002,-6,-3,-0.235,0,-2,0.050999999999999934,3,-1,4,6,2,-9,3
28,2488,2930,ATL,29,2015-12-20,Away,ORL,W,103,100,39,78,0.5,11,22,0.5,14,20,0.7,8,41,25,6,7,19,21,38,81,0.469,4,12,0.333,20,24,0.833,8,36,27,16,5,13,22,2015-12-20,3,1,-3,0.031000000000000028,7,10,0.16699999999999998,-6,-4,-0.133,0,5,-2,-10,2,6,-1
29,2489,3030,ATL,30,2015-12-21,Home,POR,W,106,97,37,77,0.481,9,29,0.31,23,28,0.821,2,31,21,8,1,10,17,38,81,0.469,5,24,0.208,16,22,0.727,14,50,24,5,4,18,20,2015-12-21,9,-1,-4,0.01200000000000001,4,5,0.10200000000000001,7,6,0.09399999999999997,-12,-19,-3,3,-3,-8,-3
30,2490,3139,ATL,31,2015-12-23,Home,DET,W,107,100,43,89,0.483,6,20,0.3,15,20,0.75,10,42,25,8,4,13,25,38,89,0.4270000000000001,7,21,0.333,17,33,0.515,13,46,18,7,9,14,20,2015-12-23,7,5,0,0.05599999999999988,-1,-1,-0.03300000000000003,-2,-13,0.235,-3,-4,7,1,-5,-1,5
31,2491,3232,ATL,32,2015-12-26,Home,NYK,W,117,98,47,88,0.534,8,25,0.32,15,18,0.833,10,37,33,13,4,9,17,39,81,0.481,7,24,0.292,13,17,0.765,12,42,25,6,8,22,15,2015-12-26,19,8,7,0.05300000000000005,1,1,0.028000000000000025,2,1,0.06799999999999995,-2,-5,8,7,-4,-13,2
32,2492,3330,ATL,33,2015-12-28,Away,IND,L,87,93,31,74,0.419,6,25,0.24,19,25,0.76,8,44,16,9,6,20,16,38,87,0.4370000000000001,7,26,0.269,10,18,0.556,11,40,9,16,3,14,20,2015-12-28,-6,-7,-13,-0.018000000000000127,-1,-1,-0.029000000000000026,9,7,0.20399999999999996,-3,4,7,-7,3,6,-4
33,2493,3430,ATL,34,2015-12-29,Away,HOU,W,121,115,43,99,0.434,14,41,0.341,21,25,0.84,17,45,27,10,7,12,24,39,72,0.542,11,20,0.55,26,39,0.667,7,46,23,6,4,19,21,2015-12-29,6,4,27,-0.10800000000000004,3,21,-0.20900000000000002,-5,-14,0.17299999999999993,10,-1,4,4,3,-7,3
